,text
13,"['kisi', 'faqeer', 'ki', 'jholi', 'men', 'kuch', 'sikke', 'dale', 'to', 'ye', 'ehsas', 'hua', 'ke', 'is', 'mehengai', 'ke', 'dur', 'mein', 'duaen', 'aj', 'bhi', 'sasti', 'hen']"
14,"['jab', 'rss', 'ke', 'log', 'mehengai', 'se', 'jooz', 'rahe', 'hai', 'aur', 'naukari', 'keliye', 'dar', 'dar', 'bhatak', 'rahe', 'hai', 'toh', 'samajh', 'lena', 'pm', 'unme', 'se', 'hi', 'ek', 'hoga', 'modi', 'jaisa', 'congress', 'ka', 'pm', 'rehta', 'toh', 'unhe', 'itna', 'kasth', 'nahi', 'jhelna', 'padta']"
15,"['unemployment', 'aur', 'mehengai', 'bar', 'kuch', 'news', 'krlo', 'bhai', 'agar', 'in', 'sab', 'se', 'fursat', 'mile', 'to']"
16,"['haan', 'wo', 'to', 'hai', 'but', 'actually', 'me', 'mehengai', 'badh', 'gyi', 'hai', 'online', 'shopping', 'and', 'discount', 'offer', 'k', 'wajah', 'se', 'logo', 'kay', 'paise', 'bach', 'rahe', 'isliye', 'utna', 'pata', 'nahi', 'lagta']"
17,"['har', 'jagah', 'mehengai', 'ne', 'loot', 'rakha', 'hai']"
18,"['ham', 'log', 'toh', 'relationship', 'banana', 'chahte', 'hai', 'tum', 'logo', 'ka', 'government', 'hi', 'chtiya', 'hai', 'pehle', 'attack', 'uske', 'baad', 'india', 'se', 'sare', 'trade', 'relation', 'khatam', 'kar', 'dena', 'jiske', 'karan', 'mehengai', 'badh', 'gayi', 'pak', 'mak', 'lekin', 'usse', 'unko', 'kuch', 'fark', 'nahi', 'padhta', 'kyuki', 'jhel', 'toh', 'aam', 'log', 'rahe', 'hai', 'na']"
19,"['karna', 'parta', 'hai', 'safia', 'behen', 'dekh', 'rahi', 'ho', 'mehengai', 'kitni', 'hogayi', 'hai']"
20,"['and', 'one', 'and', 'half', 'year', 'ago', 'things', 'were', 'quite', 'opposite', 'yet', 'media', 'was', 'crying', 'about', 'mehengai']"
21,"['lanat', 'nawaz', 'sharif', 'aur', 'aap', 'per', 'allah', 'apko', 'awam', 'per', 'zulm', 'aur', 'mehengai', 'karnay', 'per', 'apnay', 'paas', 'bulalay', 'apnay', 'sirf', 'cases', 'maaf', 'karwaey', 'allah', 'hamari', 'dua', 'sun', 'lay', 'aur', 'apko', 'aur', 'apkay', 'bhai', 'nawaz', 'sharif', 'ko', 'apnay', 'paas', 'bula', 'lay', 'allah', 'apko', 'azab', 'day']"
22,"['dollar', 'itne', 'ka', 'ho', 'gaya', 'stock', 'market', 'itna', 'niche', 'gir', 'gayi', 'mehengai', 'asmaan', 'tak', 'pohoch', 'gayi', 'etc', 'etc']"
23,"['mehengai', 'sikander', 'sab', 'mehengai']"
24,"['month', 'main', 'aaam', 'admi', 'k', 'leye', 'mehengai', 'ogni', 'se', 'bhi', 'zyada', 'hogai', 'hai', 'aik', 'choti', 'si', 'misaal', 'picture', 'main', 'khuda', 'ra', 'aaam', 'admi', 'ka', 'sochen']"
25,"['pehle', 'insano', 'ko', 'to', 'bacha', 'lo', 'jo', 'mehengai', 'k', 'karan', 'mare', 'ja', 'rahe', 'he']"
26,"['kia', 'bharwat', 'hy', 'bay', 'itni', 'mehengai']"
27,"['cylinder', 'ka', 'bhi', 'milega', 'na', 'tb', 'bhi', 'modi', 'ko', 'vote', 'krenge', 'kyunki', 'hme', 'desh', 'bachana', 'hai', 'na', 'ki', 'mehengai', 'ka', 'rona', 'rona', 'hai']"
28,"['mehengai', 'ka', 'kya', 'sir', 'dawai', 'banane', 'ka', 'raw', 'material', 'apan', 'china', 'se', 'kharidte', 'hain', 'uska', 'kya', 'yeh', 'step', 'hamari', 'ek', 'parikalpna', 'matr', 'hai', 'jab', 'tak', 'hum', 'economically', 'powerful', 'nhi', 'ban', 'jaate', 'per', 'person', 'tab', 'tak', 'kuch', 'ni', 'ho', 'sakta', 'ess', 'ban', 'waale', 'direction', 'mai']"
29,"['bhagwaan', 'sadbuddhi', 'de', 'kejriwal', 'ji', 'eka', 'ek', 'trade', 'band', 'karne', 'se', 'india', 'me', 'mehengai', 'bardh', 'jayegi', 'apne', 'team', 'me', 'anpardh', 'logo', 'ko', 'rakhna', 'band', 'karo', 'aur', 'unko', 'rakho', 'jinhe', 'economics', 'ki', 'samajh', 'ho', 'befizul', 'ki', 'baatein', 'apki', 'rallies', 'tak', 'hi', 'thik', 'thi']"
30,"['agar', 'sarkar', 'mehengai', 'kum', 'karegi', 'tho', 'hi', 'mehngai', 'kum', 'ho', 'jayegi', 'isme', 'logon', 'ka', 'kya', 'kam', 'jo', 'logon', 'ke', 'saath', 'mehengai', 'kum', 'hoga', 'kya', 'usko', 'bhi', 'gst', 'dena', 'padega', 'logone']"
31,"['ha', 'ye', 'to', 'bahut', 'zaruri', 'hai', 'phle', 'ye', 'kar', 'lo', 'fir', 'mehengai', 'or', 'berozagaari', 'ka', 'putala', 'jalana']"
32,"['wese', 'mehengai', 'par', 'bhi', 'bat', 'ki', 'ja', 'sakti', 'h', 'iske', 'or', 'ghari', 'k', 'ilawa', 'q', 'k', 'awam', 'rul', 'gai', 'h', 'in', 'choro', 'ki', 'hukumat', 'me']"
33,"['karai', 'per', 'bhonkne', 'wale', 'kutte', 'ik', 'ke', 'dor', 'main', 'tumhain', 'mehengai', 'asman', 'par', 'nazar', 'ati', 'thi', 'aj', 'kia', 'woh', 'teri', 'maan', 'ki', 'main', 'ghus', 'gai', 'hey', 'jo', 'tu', 'nonissue', 'ko', 'uchhalne', 'par', 'laga', 'huwa', 'he', 'bharwe', 'is', 'qom', 'ka', 'masla', 'tosha', 'khana', 'nahin', 'mehengai', 'he', 'kar', 'na', 'is', 'per', 'koi', 'program', 'agar', 'apne', 'bap', 'ka', 'he']"
34,"['oi', 'mehengai', 'kam', 'kar', 'jaldi', 'bahut', 'hua', 'bakaiti']"
35,"['saal', 'plan', 'nehi', 'tha', 'phir', 'bhi', 'bijlipetrol', 'or', 'sab', 'mehinay', 'pehlay', 'sasta', 'tha', 'jinkay', 'paas', 'plan', 'hai', 'unhon', 'nai', 'to', 'ulta', 'mehengai', 'kar', 'dikonsi', 'economy', 'chal', 'rehi', 'haiexportsremmitances', 'investments', 'sab', 'down', 'ho', 'gaya', 'pehlay', 'sayor', 'pak', 'bhi', 'default', 'k', 'kareeb', 'ik', 'insay', 'better', 'tha']"
36,"['tadipar', 'tu', 'patrakar', 'hai', 'ya', 'chatukar', 'jab', 'bhi', 'dekho', 'vipaksh', 'ko', 'leke', 'hi', 'bolta', 'rehta', 'haiagar', 'asal', 'bap', 'ki', 'aulad', 'hai', 'tu', 'to', 'kabhi', 'sarkar', 'ke', 'samne', 'saval', 'kar', 'mehengai', 'berojgari', 'bhrashtachar', 'ke', 'bare', 'me']"
37,"['behen', 'job', 'kiya', 'krti', 'hu', 'car', 'kesay', 'afford', 'ki', 'itni', 'mehengai', 'mein']"
38,"['andha', 'hai', 'na', 'tu', 'nannay', 'awam', 'ko', 'kya', 'samjha', 'hua', 'hai', 'tum', 'dallalon', 'ki', 'wajha', 'se', 'aaj', 'pk', 'is', 'nahij', 'pe', 'puhanch', 'gaya', 'hai', 'ab', 'tumhein', 'mehengai', 'petrol', 'ghareeb', 'nazar', 'nahi', 'arahay', 'mar', 'gaye', 'sub', 'ke', 'sub', 'tum', 'log', 'bulke', 'nahi', 'zameer', 'mar', 'gaya', 'hai', 'tum', 'sub', 'ka', 'allah', 'hi', 'poochay', 'ga', 'tumhein', 'ia']"
39,"['khawaja', 'sara', 'tum', 'mehengai', 'khatam', 'karnay', 'aaye', 'thay', 'so', 'uss', 'ko', 'khatam', 'karo', 'baqi', 'baqwas', 'baad', 'main', 'ker', 'lena']"
40,"['phir', 'mehengai', 'badh', 'jaegi', 'maharaj']"
41,"['yes', 'he', 'is', 'absolutely', 'right', 'i', 'have', 'another', 'question', 'where', 'are', 'your', 'female', 'anchors', 'who', 'were', 'always', 'reporting', 'mehengai', 'during', 'ik', 'govt', 'while', 'spending', 'out', 'of', 'hours', 'in', 'sabzi', 'ki', 'dukan', 'check', 'karain', 'sabzi', 'walay', 'kay', 'sath', 'set', 'to', 'nahi', 'ho', 'gaye']"
42,"['kamran', 'sahab', 'mehengai', 'pe', 'program', 'karenge', 'ap', 'in', 'sub', 'cheezon', 'ka', 'awaam', 'se', 'koi', 'talluq', 'nahin', 'hai']"
43,"['i', 'want', 'to', 'ask', 'where', 'are', 'your', 'female', 'anchors', 'who', 'during', 'ik', 'govt', 'were', 'always', 'reporting', 'mehengai', 'while', 'spending', 'out', 'of', 'hours', 'on', 'sabzi', 'ki', 'dukan', 'check', 'karain', 'sabzi', 'walay', 'kay', 'sath', 'set', 'to', 'nahi', 'ho', 'gaye']"
44,"['very', 'good', 'since', 'things', 'are', 'worsening', 'fast', 'awaam', 'k', 'mind', 'mein', 'hoga', 'kisney', 'mehengai', 'ki', 'hy']"
45,"['dollar', 'to', 'ab', 'hua', 'in', 'pmln', 'govt', 'jo', 'sahi', 'hai', 'wo', 'sahi', 'hai', 'jo', 'ghalat', 'wo', 'ghalat', 'is', 'me', 'kisis', 'ko', 'support', 'krna', 'nahi', 'bnta', 'kya', 'ap', 'abhi', 'present', 'time', 'ki', 'mehengai', 'ko', 'justify', 'krskty']"
46,"['tumko', 'ki', 'pata', 'rw', 'kuch', 'bhi', 'ksrte', 'he', 'tum', 'bolte', 'he', 'mehengai', 'chupane', 'ke', 'liye', 'kar', 'rahe', 'he']"
47,"['suspectedly', 'a', 'bastard', 'ik', 'ko', 'chor', 'aur', 'mehengai', 'pe', 'baat', 'kar', 'suspectedly', 'a', 'haramda']"
48,"['kiun', 'ke', 'aur', 'ko', 'mehengai', 'mushkil', 'faisle', 'nazar', 'aa', 'rahe', 'hain']"
49,"['kbahi', 'mehengai', 'par', 'bhi', 'bat', 'karlonga', 'kindly', 'ghari', 'ghari', 'kar', 'k', 'mulk', 'k', 'l', 'laga', 'diya', 'h', 'uspe', 'bat', 'karo']"
50,"['issue', 'mehengai', 'hai', 'i', 'think', 'yeh', 'nahin', 'us', 'per', 'chup', 'hain']"
51,"['that', 'too', 'on', 'a', 'thela', 'not', 'in', 'some', 'cafe', 'pricing', 'was', 'listed', 'on', 'thela', 'and', 'highest', 'one', 'was', 'and', 'i', 'ordered', 'that', 'and', 'at', 'the', 'moment', 'of', 'payment', 'arre', 'bhaiya', 'ye', 'toh', 'purana', 'laga', 'hua', 'hai', 'aap', 'toh', 'jaante', 'hi', 'ho', 'mehengai', 'kitni', 'badh', 'gyi']"
52,"['be', 'sharam', 'insan', 'mehengai', 'pr', 'ab', 'program', 'karo', 'na', 'tum', 'khuda', 'ko', 'kia', 'mu', 'dikha', 'wo', 'gay', 'qayamat', 'k', 'roz']"
53,"['mp', 'ji', 'ne', 'kabhi', 'berozgari', 'mehengai', 'k', 'mudde', 'pe', 'kabhi', 'kuch', 'bola', 'nahi']"
54,"['geo', 'pe', 'lahor', 'ki', 'mehengai', 'ki', 'bat', 'ho', 'rhi', 'hy', 'sindh', 'balochistan', 'ki', 'nhi']"
55,"['asli', 'dadai', 'mehengai', 'se', 'haibut', 'boycott', 'pathaan', 'ka', 'karegay', 'andhbhakt']"
56,"['chutiye', 'tu', 'mehengai', 'kam', 'kar', 'pehley']"
57,"['tujhe', 'kitna', 'paisa', 'mila', 'wo', 'bata', 'desh', 'ke', 'log', 'ko', 'yeh', 'najar', 'nahi', 'ata', 'jo', 'tum', 'log', 'suru', 'kiye', 'ho', 'job', 'mehengai', 'chor', 'ke', 'srk', 'ke', 'ki', 'taraf', 'bat', 'divert', 'karne', 'wale', 'sab', 'strategy', 'hain', 'dekho', 'public']"
58,"['mehengai', 'ne', 'ye', 'haal', 'kardya', 'hei']"
59,"['if', 'mehengai', 'nehru', 'responsible', 'berojgar', 'congress', 'responsible', 'then', 'abc', 'so', 'chinese', 'cctv', 'modi', 'responsible', 'as', 'ban', 'was', 'not', 'made', 'in', 'india', 'and', 'india', 'was', 'not', 'able', 'to', 'produce', 'that', 'much', 'cctv', 'in', 'cheap']"
60,"['buhut', 'mehengai', 'ho', 'jae', 'gy', 'ghareeb', 'k', 'liye']"
61,"['desh', 'ke', 'under', 'sarkar', 'badalne', 'do', 'unko', 'sare', 'karz', 'or', 'kaam', 'barstachar', 'mehengai', 'rojgar', 'sab', 'yaad', 'aa', 'jayge']"
62,"['pehle', 'taiyari', 'to', 'kar', 'lene', 'do', 'k', 'jo', 'saman', 'yaha', 'nahi', 'banta', 'wo', 'ban', 'na', 'shuru', 'ho', 'sake', 'champu', 'nahi', 'to', 'tu', 'phir', 'aake', 'kahega', 'mehengai', 'badh', 'gai', 'modi', 'ne', 'badhai', 'hai']"
63,"['jo', 'log', 'khushi', 'se', 'mehengai', 'badhane', 'wale', 'bjp', 'ko', 'jita', 'sakte', 'hai', 'wo', 'bhukhe', 'bhi', 'mar', 'sakte', 'ha', 'i']"
64,"['khariat', 'to', 'hai', 'apko', 'bhi', 'maloom', 'hai', 'mehengai', 'kiya', 'hoti', 'hai']"
65,"['zahir', 'si', 'baat', 'hai', 'paisay', 'tou', 'khatam', 'hogye', 'abb', 'lifafa', 'milna', 'bhi', 'band', 'hogaya', 'hoga', 'jabhi', 'inko', 'ab', 'mehengai', 'nazar', 'arahi', 'hai']"
67,"['ab', 'tuje', 'mehengai', 'aur', 'dollor', 'ka', 'rate', 'nh', 'dikhta', 'ab', 'tuje', 'mulk', 'ki', 'koi', 'fiker', 'nh', 'kuch', 'shram', 'kr', 'aur', 'such', 'bola', 'ker']"
68,"['bahut', 'huwi', 'mehengai', 'ki', 'maar', 'abki', 'baar']"
69,"['logon', 'ka', 'toh', 'pata', 'nahi', 'per', 'aap', 'ke', 'pass', 'kafi', 'maal', 'hai', 'lagta', 'haiitne', 'saal', 'mehengai', 'ka', 'rudaali', 'rona', 'mehez', 'ek', 'chhalava', 'tha']"
70,"['kon', 'sa', 'nasha', 'kertey', 'ho', 'bhai', 'jo', 'subah', 'uthtey', 'hi', 'ik', 'ik', 'shuru', 'ho', 'jaata', 'haiawam', 'ka', 'masla', 'mehengai', 'hai', 'us', 'per', 'baat', 'kero', 'awam', 'ka', 'beragharak', 'ker', 'diya', 'hai', 'pdm', 'waalo', 'ney']"
71,"['nahi', 'tum', 'sirf', 'andhbhakt', 'ho', 'pheku', 'aur', 'tadipaar', 'ke', 'dikhaayi', 'nahi', 'deta', 'ke', 'desh', 'mein', 'kitna', 'berozgaari', 'bhukhmari', 'aur', 'mehengai', 'hai', 'yeh', 'illiterate', 'gujju', 'pheku', 'aur', 'tadipaar', 'desh', 'ko', 'bech', 'rahe', 'hai', 'rupiya', 'girta', 'ja', 'raha', 'hai', 'aur', 'yeh', 'rss', 'pracharak', 'jo', 'kabhi', 'school', 'ya', 'college', 'nahi', 'gaya']"
72,"['tum', 'jaisi', 'jahil', 'qaum', 'ka', 'yahi', 'muqadar', 'hai', 'enjoy', 'karo', 'mehengai', 'enjoy', 'karo', 'pdm', 'ko', 'enjoy', 'karo', 'corrupt', 'system', 'ko']"
73,"['kuttay', 'k', 'bachhay', 'haramkhor', 'mehengai', 'pr', 'baat', 'krotum', 'sab', 'ko', 'imran', 'khan', 'lga', 'huaimran', 'khan', 'ne', 'tumhari', 'maaa', 'behen', 'ko', 'kya', 'ha', 'kya', 'awaaam', 'k', 'masaaail', 'pr', 'bat', 'kro', 'begherat', 'media', 'k', 'bikao', 'journalists']"
74,"['kuttay', 'k', 'bachhay', 'haramkhor', 'mehengai', 'pr', 'baat', 'krotum', 'sab', 'ko', 'imran', 'khan', 'lga', 'huaimran', 'khan', 'ne', 'tumhari', 'maaa', 'behen', 'ko', 'kya', 'ha', 'kya', 'awaaam', 'k', 'masaaail', 'pr', 'bat', 'kro', 'begherat', 'media', 'k', 'bikao', 'journalists']"
75,"['kuttay', 'k', 'bachhay', 'haramkhor', 'mehengai', 'pr', 'baat', 'krotum', 'sab', 'ko', 'imran', 'khan', 'lga', 'huaimran', 'khan', 'ne', 'tumhari', 'maaa', 'behen', 'ko', 'kya', 'ha', 'kya', 'awaaam', 'k', 'masaaail', 'pr', 'bat', 'kro', 'begherat', 'media', 'k', 'bikao', 'journalists']"
76,"['mehengai', 'hai', 'bhai', 'bachon', 'ki', 'fees', 'kaun', 'dega', 'tera', 'baap']"
77,"['shukar', 'maan', 'gayi', 'k', 'wo', 'corruption', 'nhi', 'hai', 'ab', 'sahiba', 'bataygi', 'ki', 'k', 'mehengai', 'pr', 'kab', 'programe', 'krhi', 'hai']"
78,"['ooo', 'bacha', 'g', 'os', 'ke', 'afghan', 'taliban', 'mae', 'jo', 'be', 'hiseyat', 'hai', 'os', 'ko', 'goli', 'maro', 'ye', 'socho', 'k', 'ek', 'afghan', 'tum', 'awr', 'tumhary', 'wazer', 'kharja', 'py', 'hans', 'raha', 'hai', 'awr', 'q', 'hans', 'raha', 'hai', 'wo', 'be', 'bataya', 'hai', 'os', 'ny', 'matlab', 'mehengai', 'tora', 'aqal', 'nu', 'hatt', 'maaro']"
79,"['iska', 'mehengai', 'se', 'nai', 'behayai', 'se', 'talluq', 'hai', 'azad', 'e', 'izhar', 'ka', 'khula', 'ghalat', 'istemal']"
80,"['false', 'case', 'firstly', 'and', 'secondly', 'what', 'about', 'all', 'the', 'cases', 'of', 'the', 'sharif', 'and', 'ppp', 'family', 'bro', 'like', 'why', 'would', 'they', 'need', 'nro', 'and', 'now', 'they', 'got', 'nro', 'just', 'look', 'where', 'the', 'country', 'is', 'they', 'dont', 'even', 'care', 'about', 'the', 'country', 'and', 'what', 'did', 'they', 'tell', 'the', 'people', 'mehengai', 'mukao', 'march']"
81,"['apni', 'alfaz', 'wapes', 'lo', 'aj', 'k', 'as', 'mehengai', 'me', 'hahahaa']"
82,"['bhai', 'saheb', 'mehengai', 'pe', 'thora', 'dyan', 'do', 'or', 'himachal', 'kaa', 'kiya', 'hota', 'hai', 'wo', 'time', 'ane', 'pe', 'dikh', 'jayega', 'ye', 'jo', 'hor', 'chiz', 'ka', 'daam', 'bhara', 'wo', 'q', 'ho', 'raha', 'hai', 'agar', 'itna', 'hi', 'delivered', 'korke', 'de', 'raha', 'hai', 'to']"
83,"['bhai', 'ap', 'agr', 'nawaz', 'zardari', 'fazalroman', 'aor', 'maryam', 'ky', 'aisy', 'vedios', 'laga', 'dain', 'tab', 'sahafat', 'hyabhi', 'tak', 'to', 'ap', 'bus', 'one', 'sided', 'hi', 'lagty', 'ho', 'wo', 'mehengai', 'wala', 'prog', 'karain', 'jab', 'diesel', 'per', 'ap', 'kerty', 'thy', 'aj', 'hy', 'bhai']"
84,"['and', 'this', 'is', 'where', 'rronarudaali', 'leftislamoliberals', 'should', 'be', 'sent', 'out', 'to', 'do', 'an', 'indepth', 'analysis', 'of', 'the', 'economy', 'darr', 'ka', 'mahaul', 'human', 'rights', 'mehengai', 'amp', 'whatnot', 'blackouts', 'in', 'karachi', 'amid', 'acute', 'crisis', 'pakistans', 'economic', 'hub', 'gets', 'hr', 'gas', 'supply', 'daily']"
85,"['k', 'bachhay', 'haramkhor', 'mehengai', 'pr', 'baat', 'krotum', 'sab', 'ko', 'imran', 'khan', 'lga', 'huaimran', 'khan', 'ne', 'tumhari', 'maaa', 'behen', 'ko', 'kya', 'ha', 'kya', 'awaaam', 'k', 'masaaail', 'pr', 'bat', 'kro', 'begherat', 'media', 'k', 'bikao', 'journalists']"
86,"['kuttay', 'k', 'bachhay', 'haramkhor', 'mehengai', 'pr', 'baat', 'krotum', 'sab', 'ko', 'imran', 'khan', 'lga', 'huaimran', 'khan', 'ne', 'tumhari', 'maaa', 'behen', 'ko', 'kya', 'ha', 'kya', 'awaaam', 'k', 'masaaail', 'pr', 'bat', 'kro', 'begherat', 'media', 'k', 'bikao', 'journalists']"
87,"['kuttay', 'k', 'bachhay', 'haramkhor', 'mehengai', 'pr', 'baat', 'krotum', 'sab', 'ko', 'imran', 'khan', 'lga', 'huaimran', 'khan', 'ne', 'tumhari', 'maaa', 'behen', 'ko', 'kya', 'ha', 'kya', 'awaaam', 'k', 'masaaail', 'pr', 'bat', 'kro', 'begherat', 'media', 'k', 'bikao', 'journalists']"
88,"['kuttay', 'k', 'bachhay', 'haramkhor', 'mehengai', 'pr', 'baat', 'krotum', 'sab', 'ko', 'imran', 'khan', 'lga', 'huaimran', 'khan', 'ne', 'tumhari', 'maaa', 'behen', 'ko', 'kya', 'ha', 'kya', 'awaaam', 'k', 'masaaail', 'pr', 'bat', 'kro', 'begherat', 'media', 'k', 'bikao', 'journalists']"
89,"['ab', 'ye', 'mumkin', 'nhi', 'hai', 'kyu', 'bazar', 'mein', 'ek', 'shirt', 'buy', 'karne', 'par', 'chhu', 'ho', 'jati', 'hai', 'isliye', 'pehle', 'mehengai', 'kamaiye']"
90,"['bhai', 'mehengai', 'ke', 'zamaane', 'mein', 'koi', 'kuch', 'free', 'de', 'toh', 'le', 'lena', 'chahiye']"
91,"['ghar', 'ki', 'mahila', 'behaal', 'berojgari', 'ki', 'maar', 'aur', 'upaar', 'se', 'mehengai', 'ki', 'maargaon', 'gaon', 'pedal', 'chalkar', 'sirf', 'puch', 'raha', 'hein', 'haal']"
92,"['o', 'bhai', 'awam', 'ka', 'masla', 'mehengai', 'hai', 'us', 'per', 'baat', 'kerosaanp', 'soong', 'gaya', 'hai', 'kia', 'tumlog', 'ko']"
93,"['yeh', 'kaam', 'aap', 'jaa', 'ke', 'kar', 'dijiye', 'taa', 'ke', 'inko', 'bhi', 'lage', 'ke', 'sirf', 'yeh', 'log', 'mehengai', 'par', 'program', 'nahe', 'kar', 'sakte']"
94,"['kaise', 'manage', 'karte', 'ho', 'yrr', 'india', 'me', 'bhi', 'mehengai', 'hai', 'pichle', 'years', 'me', 'times', 'huyi', 'hai', 'prices', 'lekin', 'yha', 'income', 'bhi', 'badhi', 'hai', 'jaise', 'mere', 'bhaiya', 'ki', 'per', 'month', 'salary', 'saal', 'pahle', 'rs', 'thi', 'but', 'aaj', 'rs', 'hai', 'vo', 'bhi', 'village', 'me', 'rahkar', 'job', 'karte', 'hai']"
95,"['sarkar', 'sabse', 'tax', 'vasulti', 'hai', 'itni', 'mehengai', 'kari', 'hui', 'hai', 'aur', 'jobs', 'nahi', 'haipar', 'janta', 'ko', 'ye', 'pata', 'hai', 'ki', 'kam', 'se', 'ksarkar', 'border', 'to', 'smbhalegi', 'par', 'ab', 'ye', 'usme', 'bhi', 'nakaam', 'hai', 'aur', 'agar', 'nahi', 'hai', 'toh', 'jawab', 'de']"
96,"['mehengai', 'ke', 'naam', 'pe', 'ane', 'wali', 'pdm', 'ke', 'karna', 'me', 'sharam', 'se', 'doob', 'maro']"
97,"['mehengai', 'hai', 'jagha', 'line', 'me', 'ki', 'hoti', 'thi', 'pehele']"
